src_0DW7eEkraNLUv94eAaxn4v,This One's for You,Joe Public,Joe Public,src: https://i.scdn.co/image/ab67616d0000b273233b6404ed87261ad2d8cc36,278600
src_76P9PzvAk51CqtOeCIEGBQ,U Will Know - US Radio Mix,B.M.U. (Black Men United),U Will Know,src: https://i.scdn.co/image/ab67616d0000b273131f93cd630d0651f0975321,244026
src_1IkdRtsgZCtWIekX8NrLdN,Hot 뜨거,1TYM,Once N 4 All,src: https://i.scdn.co/image/ab67616d0000b27312031d07e7ad259efa2cf74f,218333
src_6R6FlagrCC7HuFZnapXO5o,Slide,El DeBarge,"Heart, Mind & Soul",src: https://i.scdn.co/image/ab67616d0000b2739050760ed68116eaaebcd699,344733
src_2EQaWLbkUcZ92sLKQsSeDv,Simple Pleasures,Karyn White,Make Him Do Right,src: https://i.scdn.co/image/ab67616d0000b273db58077a8675dded730530f1,276893
src_6ipZiTWO0fuhs8lul00e4w,Hangin',Jade,"Mind, Body & Soul",src: https://i.scdn.co/image/ab67616d0000b27351f655b4c82421f3ca7e6159,239000
src_6vhjkSvhOxU5ZyUshIAPCY,I Don't Mind,Big Bub,Comin' At Cha,src: https://i.scdn.co/image/ab67616d0000b273b8077a102f6a3e8cd245a3d6,255600
src_1GztRvzpFWGhe00N3jv91q,Not to Be,Unv,The Lost Remixes,src: https://i.scdn.co/image/ab67616d0000b2736c0eaac2136719f24fd26904,318902
src_1w09YJ2UvJvCR4q0W44snv,Do You Believe in Me,Eric Gadd,Do You Believe In Me,src: https://i.scdn.co/image/ab67616d0000b2737b1361614dcdff8c48b606b9,258266
src_7ujVDENgCDD77JxBuw4Mhu,"Judy Had A Boyfriend - Mucho 12"" no rap",Riff,To Whom It May Concern,src: https://i.scdn.co/image/ab67616d0000b2733c50c3468f71d042aa481b6b,229400
src_5hyHsOQUnWQMBPWX8KZuID,Lies,"En Vogue, Debbie T.",Born to Sing,src: https://i.scdn.co/image/ab67616d0000b2730e43e9832aedfcd1899471b7,256333
src_3SYqmao3YLyGYzmvBJ7Bhe,Have You Got What It Takes,Starpoint,Have You Got What It Takes,src: https://i.scdn.co/image/ab67616d0000b273eb28a11a028b55b53f093943,274666
src_5EGIJVtcmlFdw21fTwGf3u,La La La,"Harold Travis, B. Brown Posse",B. Brown Posse,src: https://i.scdn.co/image/ab67616d0000b2730ae494cf8b0a48d41a6ca647,234133
src_5ocSQW5sIUIOFojwXEz9Ki,Supernatural,NewJeans,Supernatural,src: https://i.scdn.co/image/ab67616d0000b2737e1eeb0d7cc374a168369c80,191000
src_53svtkdl7Hl0RZgAuTgON8,If You Let It,Alexander O'Neal,Love Makes No Sense,src: https://i.scdn.co/image/ab67616d0000b273e630d291553206ca08add84e,314200
src_6SaeXxdt0Id6ZzmX0ZGTQK,"Fastlove, Pt. 1",George Michael,Older,src: https://i.scdn.co/image/ab67616d0000b273721aa94703c1a94c735aacd0,324666
src_2Sv7RMNFfNofAOmA32mLA4,Waiting For The Day,Shai,If I Ever Fall In Love,src: https://i.scdn.co/image/ab67616d0000b273b7bc7394a6a5995a887330ef,285173
src_7G0bBRiFDs1sDsiRqzZbmT,Nasty Girl,Nuttin' Nyce,Down 4 Whateva,src: https://i.scdn.co/image/ab67616d0000b2735ee4f56f2096aeb00c8683ce,340906
src_4xw1SakICm1K8xgeLdElyB,Take A Step Back,DeDe Lopez,TBA (Totally Bombastic Anecdotes),src: https://i.scdn.co/image/ab67616d0000b273d80dd4ea660d87be61773595,246733
src_070bDNenZlWcjzZGAc2npp,Sax-A-Go-Go,Candy Dulfer,Sax-A-Go-Go,src: https://i.scdn.co/image/ab67616d0000b273bd3020ee94e5c47101847893,294760
src_6TSM5vkz0WzyZsNAKKYDcw,Someday,Mariah Carey,Mariah Carey,src: https://i.scdn.co/image/ab67616d0000b2735084c69ed3f70e8fb139e1ea,246106
src_0h9SUGpAofhus8HUgNXVwW,I Bet My Life,Imagine Dragons,Smoke + Mirrors (Deluxe),src: https://i.scdn.co/image/ab67616d0000b27359ac0a9acb7bf0d315301152,192706
src_4jnFqNWeJCeCRHc4HCdxfd,Remember the Time,Michael Jackson,Dangerous,src: https://i.scdn.co/image/ab67616d0000b2733b9f8b18cc685e1502128aa8,239226
src_3HGE6Is63CrKHS9DZ26RIO,Rub You The Right Way,Johnny Gill,Johnny Gill,src: https://i.scdn.co/image/ab67616d0000b273e44407586df5456493482202,333800
src_3Xtn6ND8fGALF41WWztGF1,You Make The Difference,Tracie Spencer,Make The Difference,src: https://i.scdn.co/image/ab67616d0000b273f14b49620afd34100dd682b8,306693
